Title of resource,Map type,Coordinate system,Date of ground survey used to compile map,Resource created at,Description,Ellipsoid,Copywright,Publisher,Location of hard copy,Start Date,Map scale,MAEASaM ID,Datum,URL,Sheet history,Resource Type,Author,Map title, Location,Subject,Book or journal information,Year of publication,Projection,Book or journal edition,Format,Language,Recorder,Page numbers,Cartographer,Map creation date,Location of digital copy consulted,Volume,Collection publisher,Name of collection ,End Date,Contributors,ISBN/ISSN,Comment,Source,Project name,Map series code,DOI,Resource last modified at,Map publisher,Developed or maintained by,resourceid
Cotton in Ancient Sudan and Nubia: Archaeological Sources and Historical Implications,,,,2024-05-22,,,,None,,,,INFO-00000011,,http://journals.openedition.org/ethnoecologie/4429,,Journal article,Yvanez Elsa ; Wozniak Magdalena m.,,,,Revue Dethnoécologie,2019-06-30,,15,,,,None,,,,None,,,,,None,,,,,10. 4000/ethnoecologie. 4429,2024-05-22,,,60aceeae-2732-46b5-9fed-af58cfb68550
Darfur Antiquities,,,,2024-05-22,,,,None,,,,INFO-00000012,,https://www.jstor.org/stable/41716224,,Journal article,Arkell A. J.,,,,Sudan Notes and Records,1936-01-01,,2,,,,301-311,,,,19,,,,,None,,,,,None,2024-05-22,,,73563ec2-602d-474e-a5d9-96baa392b85e
Continuity and Change: an Archaeological Study of Farming Communities in Northern Zimbabwe Ad 500-1700,,,,2024-05-22,,,,Dept. of Archaeology [ Institutionen För Arkeologi ] Univ,,,,INFO-00000013,,None,,Book,Pwiti Gilbert,,,,None,1996-01-01,,None,,,,None,,,,None,,,,,978-91-506-1159-5,,,,,None,2024-05-22,,,20676649-37c6-45c0-b637-f70393b02f74
The Oudierin Drainage Archaeological Project: New Perspectives on the Saloum Delta Shell Middens (Senegal),,,,2024-05-22,None,,,None,,None,,INFO-00000014,,https://link.springer.com/10.1007/s10437-022-09482-w,,Journal article,Holl Augustin F. C.,,,None,African Archaeological Review,2022-06-01,,2,None,English,,189-219,,,,39,None,None,None,None,None,,None,None,,10. 1007/s10437-022-09482-w,2024-05-22,,None,da7a4685-7c84-4f34-885d-cca67a76a15e
Holocene Climate Change and Cultural Adaptation: Case Study from the Saloum Delta Senegal West Africa,,,,2024-05-22,,,,None,,,,INFO-00000015,,None,,Journal article,Holl Augustin,,,,None,2023-02-21,,None,,,,None,,,,None,,,,,None,,,,,10. 32474/jaas. 2023. 07. 000273,2024-05-22,,,7f5ac969-e397-48e9-a7c4-f67a9cbee83e
The Bantu Studies Research Project,,,,2024-05-22,None,,,None,,None,,INFO-00000016,,http://www.tandfonline.com/doi/abs/10.1080/00672707109511544,,Journal article,Soper Robert,,,None,Azania: Archaeological Research in Africa,1971-01-01,,1,None,English,,1-4,,,,6,None,None,None,None,None,,None,None,,10. 1080/00672707109511544,2024-05-22,,None,890a3bbb-09c9-4a75-8347-06c9bd0886ca
Characterizing Hunter-gatherer Rock Art: an Analysis of Spatial Variation of Motifs in the Prehistoric Rock Art of Zimbabwe,,,,2024-05-22,None,,,University of Zimbabwe,,None,,INFO-00000017,,None,,Unpublished PhD thesis,Nhamo Ancila,,,None,None,2012-01-01,,None,None,English,,None,,,,None,None,None,None,None,None,,None,None,,None,2024-05-22,,None,0eef8c4b-90c9-40b5-8b66-09192c015098
An Archaeological Reconnaissance of the Bobonong Area in North-eastern Botswana,,,,2024-05-22,,,,None,,,,INFO-00000018,,https://www.jstor.org/stable/40979453,,Journal article,Fletemeyer John R.,,,,Botswana Notes and Records,1976-01-01,,None,,,,1-6,,,,8,,,,,None,,,,,None,2024-05-22,,,f787c023-50b0-45da-81a5-ad85d1827e5e
Archaeology in the Nguru Hills: Iron Age and Earlier Ceramics,,,,2024-05-22,None,,,None,,None,,INFO-00000019,,http://www.tandfonline.com/doi/abs/10.1080/00672709209511429,,Journal article,Thorp Carolyn,,,None,Azania: Archaeological Research in Africa,1992-01-01,,1,None,English,,21-44,,,,27,None,None,None,None,None,,None,None,,10. 1080/00672709209511429,2024-05-22,,None,14579371-f093-4943-9a29-681133ebf061
The Animal Economy of Prehistoric Farming Communities in Manicaland Eastern Zimbabwe,,,,2024-05-22,None,,,University of Dar Es Salaam,,None,,INFO-00000020,,None,,Unpublished PhD thesis,Shenjere Plan,,,None,None,2011-12-01,,None,None,English,,None,,,,None,None,None,None,None,None,,None,None,,None,2024-05-22,,None,0cd8052e-7b84-4f26-b8e0-25d1822dd1af
Stone Cairns and Material Culture of the Middle to Late Holocene Lake Turkana,,,,2024-05-22,None,,,None,,None,,INFO-00000021,,https://www.jstor.org/stable/44295233,,Journal article,Wright David ; Grillo Katherine ; Soper Robert,,,None,Journal of African Archaeology,2016-01-01,,2,None,English,,209-222,,,,14,None,None,None,None,None,,None,None,,Https: //doi. org/10. 3213/2191-5784-10287,2024-05-24,,None,41111788-0e29-4ed0-8423-ccf3c04d4745
The Terrace Builders of Nyanga,,,,2024-05-22,None,,,Weaver Press,,None,,INFO-00000022,,None,,Book,Soper Robert,,,None,None,2013-01-01,,None,None,English,,None,,,,None,None,None,None,None,None,,None,None,,None,2024-05-22,,None,d79030eb-e283-496b-80ba-19f92bd25646
Inyanga 1832 B1,Topographic,,None,2024-05-22,None,,,Surveyor General of Rhodesia,,None,1: 50 000,INFO-00000023,,None,,Map,None,None,None,None,None,1972-01-01,None,None,None,English,,None,None,None,,None,None,None,None,None,None,,None,None,None,None,2024-05-22,None,None,35c177cb-20bb-4f33-9f1b-440547e4db12
Swahili Social Landscapes: Material Expressions of Identity Agency and Labour in Zanzibar 1000-1400 Ce,,,,2024-05-22,None,,,Department of Archaeology and Ancient History,,None,,INFO-00000024,,None,,Book,Rødland Henriette,,,None,None,2021-01-01,,None,None,English,,None,,,,None,None,None,None,None,978-91-506-2896-8,,None,None,,None,2024-05-22,,None,16364c53-0a45-4474-be1f-0b5776104dc5
Excavation of the Later Stone Age Site of Madola - Kiwangwa Bagamoyo Tanzania,,,,2024-05-22,None,,,None,,None,,INFO-00000025,,https://www.tandfonline.com/doi/full/10.1080/0067270X.2019.1619281,,Journal article,Kessy Emanuel t.,,,None,Azania: Archaeological Research in Africa,2019-04-03,,2,None,English,,177-202,,,,54,None,None,None,None,None,,None,None,,10. 1080/0067270x. 2019. 1619281,2024-05-22,,None,57cfa064-a708-4dd7-8943-4fb8e79b2df8
Cultural Heritage Assets: Rituals Grinding Hollows and other Socio-cultural Practices in Simiyu Region Tanzania,,,,2024-05-22,,,Http: //creativecommons. org/licenses/by/4. 0/,None,,,,INFO-00000026,,http://www.scirp.org/journal/doi.aspxDOI=10.4236/nr.2016.74020,,Journal article,Saanane Charles B.,,,,Natural Resources,2016-01-01,,04,,,,214-238,,,,07,,,,,None,,,,,10. 4236/nr. 2016. 74020,2024-05-22,,,2a973bdb-d54f-4a92-9a99-6d1b5d8facdb
Digo Settlements in Tanzania and the Kaya Question,,,,2024-05-22,None,,,None,,None,,INFO-00000027,,http://www.tandfonline.com/doi/abs/10.1080/00672709909511474,,Journal article,Clarke G. Philip,,,None,Azania: Archaeological Research in Africa,1999-01-01,,1,None,English,,109-113,,,,34,None,None,None,None,None,,None,None,,10. 1080/00672709909511474,2024-07-29,,None,65ccea73-6520-4e05-a370-ef6b6ab2d046
Challenges to the Retention of the Integrity of World Heritage Sites in Africa: the Case of Kilwa Kisiwani and Songo Mnara Tanzania,,,,2024-05-22,None,,,None,,None,,INFO-00000028,,https://www.tandfonline.com/doi/full/10.1080/0067270X.2017.1396665,,Journal article,Ichumbaki Elgidius B. ; Mapunda Bertram B.,,,None,Azania: Archaeological Research in Africa,2017-10-02,,4,None,English,,518-539,,,,52,None,None,None,None,None,,None,None,,10. 1080/0067270x. 2017. 1396665,2024-05-22,,None,ebc0bf97-5f23-4b24-ab62-9ea30f60dbdd
Catastrophes and Deaths Along Tanzanias Western Indian Ocean Coast during the Early Swahili Period Ad 900–1100,,,,2024-05-22,None,,,None,,None,,INFO-00000029,,https://www.tandfonline.com/doi/full/10.1080/0067270X.2018.1473208,,Journal article,Mjema Elinaza,,,None,Azania: Archaeological Research in Africa,2018-04-03,,2,None,English,,135-155,,,,53,None,None,None,None,None,,None,None,,10. 1080/0067270x. 2018. 1473208,2024-05-22,,None,6993fa88-3fbe-43d5-b730-1a33761c73f0
Archaeological Survey in Mbeya Region Southern Tanzania,,,,2024-05-22,None,,,None,,None,,INFO-00000030,,http://www.tandfonline.com/doi/abs/10.1080/00672708409511333,,Journal article,Mc Brearty Sally ; Waane S. A. c. ; Wynn Thomas G.,,,None,Azania: Archaeological Research in Africa,1984-01-01,,1,None,English,,128-132,,,,19,None,None,None,None,None,,None,None,,10. 1080/00672708409511333,2024-05-22,,None,7061eae8-5a37-4a2f-a03d-e46a9026b83e
Archaeological Sites in Usandawe,,,,2024-05-22,None,,,None,,None,,INFO-00000031,,http://www.tandfonline.com/doi/abs/10.1080/00672706809511491,,Journal article,Sutton J. E. G.,,,None,Azania: Archaeological Research in Africa,1968-01-01,,1,None,English,,167-174,,,,3,None,None,None,None,None,,None,None,,10. 1080/00672706809511491,2024-05-22,,None,0e9091dd-4cf0-46ce-b522-d2585eda4270
Ancient Civilizations and Modern Agricultural Systems in the Southern Highlands of Tanzania,,,,2024-05-22,None,,,None,,None,,INFO-00000032,,http://www.tandfonline.com/doi/abs/10.1080/00672706909511506,,Journal article,Sutton J. E. G.,,,None,Azania: Archaeological Research in Africa,1969-01-01,,1,None,English,,1-13,,,,4,None,None,None,None,None,,None,None,,10. 1080/00672706909511506,2024-05-22,,None,2c83fe0a-5d3e-43fc-b717-4c2f59a6e4e1
An Archaeological Survey of Iramba Tanzania,,,,2024-05-22,None,,,None,,None,,INFO-00000033,,http://www.tandfonline.com/doi/abs/10.1080/00672707109511550,,Journal article,Odner Knut,,,None,Azania: Archaeological Research in Africa,1971-01-01,,1,None,English,,151-198,,,,6,None,None,None,None,None,,None,None,,10. 1080/00672707109511550,2024-05-22,,None,b734eb5d-5e41-498b-b4b4-b687841e18d4
A Revised Chronology of the Sultans of Kilwa in the Eighteenth and Nineteenth Centuries,,,,2024-05-22,None,,,None,,None,,INFO-00000034,,http://www.tandfonline.com/doi/abs/10.1080/00672706709511445,,Journal article,Alpers Edward,,,None,Azania: Archaeological Research in Africa,1967-01-01,,1,None,English,,145-163,,,,2,None,None,None,None,None,,None,None,,10. 1080/00672706709511445,2024-05-22,,None,50358790-d09e-419f-90c7-278bab1923e1
A Portuguese Inscription and the Uroa Coin Hoard: some Discoveries in Zanzibar,,,,2024-05-22,None,,,None,,None,,INFO-00000035,,http://www.tandfonline.com/doi/abs/10.1080/00672707509511617,,Journal article,Gray John m.,,,None,Azania: Archaeological Research in Africa,1975-01-01,,1,None,English,,123-131,,,,10,None,None,None,None,None,,None,None,,10. 1080/00672707509511617,2024-05-22,,None,d882282f-e847-4fdd-979e-0feb6e618883
A History of the Ancient Swahili Town with a Guide to the Monuments of Kilwa Kisiwani and Adjacent Islands,,,,2024-05-22,None,,,None,,None,,INFO-00000036,,http://www.tandfonline.com/doi/abs/10.1080/00672709809511466,,Journal article,None,,,None,Azania: Archaeological Research in Africa,1998-01-01,,1,None,English,,113-169,,,,33,None,None,None,None,None,,None,None,,10. 1080/00672709809511466,2024-05-22,,None,0cf7daae-6070-46d3-8a54-5099889999e5
A Deposit of Kilwa-type Coins from Songo Mnara Tanzania,,,,2024-05-22,None,,,None,,None,,INFO-00000037,,http://www.tandfonline.com/doi/abs/10.1080/0067270X.2013.871979,,Journal article,Perkins John ; Fleisher Jeffrey ; Wynne-jones Stephanie,,,None,Azania: Archaeological Research in Africa,2014-01-02,,1,None,English,,102-116,,,,49,None,None,None,None,None,,None,None,,10. 1080/0067270x. 2013. 871979,2024-05-22,,None,747adf7e-022f-4ffe-bb12-8eb63f33d381
A Preliminary Report on an Archaeological Survey on the Slopes of Kilimanjaro,,,,2024-05-22,None,,,None,,None,,INFO-00000038,,http://www.tandfonline.com/doi/abs/10.1080/00672707109511549,,Journal article,Odner Knut,,,None,Azania: Archaeological Research in Africa,1971-01-01,,1,None,English,,131-149,,,,6,None,None,None,None,None,,None,None,,10. 1080/00672707109511549,2024-05-22,,None,79b8a09c-459d-4ccf-829e-864c2ca04257
The Rock Art of Mara Region Tanzania,,,,2024-05-22,None,,,None,,None,,INFO-00000039,,http://www.tandfonline.com/doi/abs/10.1080/00672700509480412,,Journal article,Mabulla Audax Z. p.,,,None,Azania: Archaeological Research in Africa,2005-01-01,,1,None,English,,19-42,,,,40,None,None,None,None,None,,None,None,,10. 1080/00672700509480412,2024-05-22,,None,6ea8f46e-75ac-4425-bc2f-de7a99e7096d
The Tomb of the Dated Inscription at Gedi,,,,2024-05-23,None,,,None,,None,,INFO-00000040,,None,,Journal article,Kirkman J s,,,None,Royal Anthropological Institute of Great Britain and Ireland,1960-01-01,,None,None,English,,None,,,,4,None,None,None,None,None,,None,None,,None,2024-05-23,,None,b9a1f4eb-65d9-4eea-ab9e-2b9aac71bc91
Kenya Littoral,,,,2024-05-23,,,,None,,,,INFO-00000041,,https://www.journals.uchicago.edu/doi/abs/10.1086/200723journalCode=ca,,Journal article,Kirkman J s,,,,Current Anthropology,1966-01-01,,3,,,,347-348,,,,7,,,,,None,,,,,Https: //doi. org/10. 1086/200723,2024-05-24,,,042d2d85-7454-4cea-9868-8a2e93c8e2d0
Mnarani of Kilifi: the Mosques and Tombs,,,,2024-05-23,,,,None,,,,INFO-00000042,,None,,Journal article,Kirkman James,,,,Ars Orientalis,1959-01-01,,None,,,,95-112,,,,3,,,,,None,,,,,None,2024-05-23,,,18df9aff-bbfe-41f8-ab19-b449cd6d469a
New Finds Along the Kenya Coast,,,,2024-05-23,,,,None,,,,INFO-00000043,,None,,Journal article,Abungu George,,,,Kenya Past and Present,1994-01-01,,26,,,,41-48,,,,None,,,,,None,,,,,None,2024-05-24,,,88455734-e49c-423e-a6d5-fb9acbffc052
The Early Islamic Architecture of the East African Coast,,,,2024-05-23,,,,British Institute in Eastern Africa,,,,INFO-00000044,,None,,Book,Garlake Peter,,,,None,1966-01-01,,None,,,,None,,,,None,,,,,None,,,,,None,2024-05-23,,,7e345291-ba02-4d6a-9971-2f5d369d248b
Uvinza and its Salt Industry,,,,2024-05-22,None,,,None,,None,,INFO-00000045,,http://www.tandfonline.com/doi/abs/10.1080/00672706809511487,,Journal article,Sutton J. E. G. ; Roberts A. d.,,,None,Azania: Archaeological Research in Africa,1968-01-01,,1,None,English,,45-86,,,,3,None,None,None,None,None,,None,None,,10. 1080/00672706809511487,2024-05-22,,None,e326be6a-e3f4-4e30-a78e-6b28dd61312f
Urbanisation in Eastern Africa: an Historical Overview C. 1750–2000,,,,2024-05-22,None,,,None,,None,,INFO-00000046,,http://www.tandfonline.com/doi/abs/10.1080/00672700109511697,,Journal article,Burton Andrew,,,None,Azania: Archaeological Research in Africa,2001-01-01,,1,None,English,,1-28,,,,36-37,None,None,None,None,None,,None,None,,10. 1080/00672700109511697,2024-05-22,,None,87c0687b-ff07-4c0b-b942-907a08595c35
Unguja Ukuu: the Earliest Imported Pottery and an Abbasid Dinar,,,,2024-05-22,None,,,None,,None,,INFO-00000047,,http://www.tandfonline.com/doi/abs/10.1080/00672706609511352,,Journal article,Chittick Neville,,,None,Azania: Archaeological Research in Africa,1966-01-01,,1,None,English,,161-163,,,,1,None,None,None,None,None,,None,None,,10. 1080/00672706609511352,2024-05-22,,None,89f126f8-c84b-45d4-a8a1-463d3d1555cd
Ugunja: a New Kansyore (Oltome) Site,,,,2024-05-22,None,,,None,,None,,INFO-00000048,,http://www.tandfonline.com/doi/abs/10.1080/00672709209511433,,Journal article,Mosley P. N. ; Davison s.,,,None,Azania: Archaeological Research in Africa,1992-01-01,,1,None,English,,129-134,,,,27,None,None,None,None,None,,None,None,,10. 1080/00672709209511433,2024-05-22,,None,9b9e8765-dd48-40bd-bca8-3005418adb66
Two Traditions about the Early History of Kilwa,,,,2024-05-22,None,,,None,,None,,INFO-00000049,,http://www.tandfonline.com/doi/abs/10.1080/00672706809511497,,Journal article,Chittick Neville,,,None,Azania: Archaeological Research in Africa,1968-01-01,,1,None,English,,197-200,,,,3,None,None,None,None,None,,None,None,,10. 1080/00672706809511497,2024-05-22,,None,0928ec5a-272e-4aae-bdcf-9b6f52afeec5
This is what Pots Look Like here: Ceramics Tradition and Consumption on Mafia Island Tanzania,,,,2024-05-22,None,,,None,,None,,INFO-00000050,,http://www.tandfonline.com/doi/abs/10.1080/00672700809480456,,Journal article,Wynne-jones Stephanie ; Mapunda Bertram B. b.,,,None,Azania: Archaeological Research in Africa,2008-01-01,,1,None,English,,1-17,,,,43,None,None,None,None,None,,None,None,,10. 1080/00672700809480456,2024-07-26,,None,d90af75f-1062-448e-abee-9999b842ac77
The Spatial Dichotomy of Swahili Towns: the Case of Zanzibar in the Nineteenth Century,,,,2024-05-22,None,,,None,,None,,INFO-00000051,,http://www.tandfonline.com/doi/abs/10.1080/00672700109511700,,Journal article,Sheriff Abdul,,,None,Azania: Archaeological Research in Africa,2001-01-01,,1,None,English,,63-81,,,,36-37,None,None,None,None,None,,None,None,,10. 1080/00672700109511700,2024-05-22,,None,aa3aa25d-4dff-4692-a3a5-428926f3c413
The Rock Art of Kondoa District Tanzania,,,,2024-05-22,None,,,None,,None,,INFO-00000052,,http://www.tandfonline.com/doi/full/10.1080/0067270X.2015.1120436,,Journal article,Bwasiri Emmanuel J. ; Smith Benjamin W.,,,None,Azania: Archaeological Research in Africa,2015-10-02,,4,None,English,,437-459,,,,50,None,None,None,None,None,,None,None,,10. 1080/0067270x. 2015. 1120436,2024-05-22,,None,53f6ffd3-436f-45e0-9426-d70064b1d0d8
The Prehistoric Rock Art of the Lake Victoria Region,,,,2024-05-22,None,,,None,,None,,INFO-00000053,,http://www.tandfonline.com/doi/abs/10.1080/00672707409511714,,Journal article,Chaplin J. H.,,,None,Azania: Archaeological Research in Africa,1974-01-01,,1,None,English,,1-50,,,,9,None,None,None,None,None,,None,None,,10. 1080/00672707409511714,2024-05-22,,None,2c9b9ba3-724b-4254-a347-efa044561757
The Mosque at Mbuamaji and the Nabahani,,,,2024-05-22,None,,,None,,None,,INFO-00000054,,http://www.tandfonline.com/doi/abs/10.1080/00672706909511516,,Journal article,Chittick Neville,,,None,Azania: Archaeological Research in Africa,1969-01-01,,1,None,English,,159-160,,,,4,None,None,None,None,None,,None,None,,10. 1080/00672706909511516,2024-05-22,,None,aee0c2b7-3dd9-4ad1-b26c-0a77e67a9b0b
The Masange Bowmen: a Rock Painting in Central Tanzania,,,,2024-05-22,None,,,None,,None,,INFO-00000055,,http://www.tandfonline.com/doi/abs/10.1080/00672706709511447,,Journal article,Sassoon Hamo,,,None,Azania: Archaeological Research in Africa,1967-01-01,,1,None,English,,193-194,,,,2,None,None,None,None,None,,None,None,,10. 1080/00672706709511447,2024-05-22,,None,0c7f95ab-8ab1-4adc-a101-1e2727610704
The Makalo Rock-paintings of Nyamwezi,,,,2024-05-22,None,,,None,,None,,INFO-00000056,,http://www.tandfonline.com/doi/abs/10.1080/00672707009511527,,Journal article,Collinson J. D. H.,,,None,Azania: Archaeological Research in Africa,1970-01-01,,1,None,English,,55-63,,,,5,None,None,None,None,None,,None,None,,10. 1080/00672707009511527,2024-05-22,,None,6bf83780-8f0c-4ea4-85f4-259e0435bca3
The First Millennium Ad on the East Coast: a New Look at the Cultural Sequence and Interactions,,,,2024-05-22,None,,,None,,None,,INFO-00000057,,http://www.tandfonline.com/doi/abs/10.1080/00672709409511678,,Journal article,Chami Felix a.,,,None,Azania: Archaeological Research in Africa,1994-01-01,,1,None,English,,227-237,,,,29-30,None,None,None,None,None,,None,None,,10. 1080/00672709409511678,2024-05-22,,None,2fd53ecd-4496-41f7-9513-67a9ea2f1710
The Early Iron Age on Mafia Island and its Relationship with the Mainland,,,,2024-05-22,None,,,None,,None,,INFO-00000058,,http://www.tandfonline.com/doi/abs/10.1080/00672709909511468,,Journal article,Chami F. a.,,,None,Azania: Archaeological Research in Africa,1999-01-01,,1,None,English,,1-10,,,,34,None,None,None,None,None,,None,None,,10. 1080/00672709909511468,2024-05-22,,None,4a1ce81c-be08-4eeb-be45-3a04c8cf6c63
The Early History of Kilwa Kivinje,,,,2024-05-22,None,,,None,,None,,INFO-00000059,,http://www.tandfonline.com/doi/abs/10.1080/00672706909511515,,Journal article,Chittick Neville,,,None,Azania: Archaeological Research in Africa,1969-01-01,,1,None,English,,153-159,,,,4,None,None,None,None,None,,None,None,,10. 1080/00672706909511515,2024-05-22,,None,b2351f43-38ab-4e96-9c9d-0224b2f37b81
The Development and Expansion of the Field and Irrigation Systems at Engaruka Tanzania,,,,2024-05-22,None,,,None,,None,,INFO-00000060,,http://www.tandfonline.com/doi/abs/10.1080/00672700609480435,,Journal article,Stump Daryl,,,None,Azania: Archaeological Research in Africa,2006-01-01,,1,None,English,,69-94,,,,41,None,None,None,None,None,,None,None,,10. 1080/00672700609480435,2024-05-22,,None,e339d22f-1817-465d-9fcf-6842d7bc5f5b
The Archaeology and Early Peoples of the Highlands of Kenya and Northern Tanzania,,,,2024-05-22,None,,,None,,None,,INFO-00000061,,http://www.tandfonline.com/doi/abs/10.1080/00672706609511340,,Journal article,Sutton J. E. G.,,,None,Azania: Archaeological Research in Africa,1966-01-01,,1,None,English,,37-57,,,,1,None,None,None,None,None,,None,None,,10. 1080/00672706609511340,2024-07-08,,None,9c8d68cd-3455-4784-96c0-c68c70639a40
The Ancient Dams of Tanganyika Masailand,,,,2024-05-22,None,,,None,,None,,INFO-00000062,,http://www.tandfonline.com/doi/abs/10.1080/00672707309511574,,Journal article,Sutton J. E. G.,,,None,Azania: Archaeological Research in Africa,1973-01-01,,1,None,English,,105-114,,,,8,None,None,None,None,None,,None,None,,10. 1080/00672707309511574,2024-05-22,,None,a7727021-f0b1-4888-85e3-e550226cdec9
Some Iron Age Wares from Central Tanzania,,,,2024-05-22,None,,,None,,None,,INFO-00000063,,http://www.tandfonline.com/doi/abs/10.1080/00672707509511615,,Journal article,Liesegang Gerhard,,,None,Azania: Archaeological Research in Africa,1975-01-01,,1,None,English,,93-105,,,,10,None,None,None,None,None,,None,None,,10. 1080/00672707509511615,2024-05-22,,None,a42f6756-6168-43cd-8705-479132632c1e
Six Early Coins from Near Tanga,,,,2024-05-22,None,,,None,,None,,INFO-00000064,,http://www.tandfonline.com/doi/abs/10.1080/00672706609511349,,Journal article,Chittick Neville,,,None,Azania: Archaeological Research in Africa,1966-01-01,,1,None,English,,156-157,,,,1,None,None,None,None,None,,None,None,,10. 1080/00672706609511349,2024-05-22,,None,2aac7424-0e78-477a-8822-994912f374c1
