Chronology type,Description,Chronology name value,Digital provenance,Descriptive start date,Relationship type,Descriptive end date type,Editorial note,Name type,Resource modified at,Descriptive end date,Start date,MAEASaM ID,Region,Connected to,Geometry,Source,Descriptive start date type,Resource creation at,End date,resourceid
Material culture,"The sites of the Gash Group are recorded along the Gash Delta, Kassala Province, and in the alluvial plains south of it. The main site is Mahal Teglinos (K1). The material culture is dominated by scraped vessels, the rest of the ceramics are mostly decorated with rim band designs: simple dash rouletted, punctuate zoned and horizontal zig-zag patterns. The flaked stone industry is basically microlithic with a small amount of blades. (Fattovich 1993)",Gash culture (ceramic),,not before 3000,,BCE,,Primary name,,1400,'-3000,CHRN-00000492,"Sudan, Primary name",,,,BCE,,'-1400,0dcda6e4-a514-4890-bc52-d402597d0fd2
Local sequence,"The 6.5 m excavated sequence (dating from the mid-first millennium AD to c. 1400) significantly improves understanding of Essouk-Tadmakka's ‘prehistoric’ and historic periods and, in doing so, provides a wealth of new evidence to help answer key questions about early Islamic trans-Saharan trade.' (Nixon 2008)",Essouk,,,,,,Primary name,,,,CHRN-00000501,"Mali, Primary name",,, Handbook of Ancient Nubia,,,,947a7f5e-3c09-47a0-b6b7-189fa1a4b46d
Ceramic tradition,"Kobadi Tradition pottery as it occurs in the southern Gourma is almost identical to that of the Méma (MacDonald 1994) with the exception of two variant ware types. The more 'typical' Kobadi Tradition wares are globular simple rimmed vessels with bands of complex punctate, stabbed comb, or pivoted spatula decor underlain by either twisted or braided twine roulettes. The first of the two variant wares consists of open simple rimmed bowls, with a distinctive undecorated band beneath the lip underlain by braided or twisted twine roulettes and sometimes impressed cord-wrapped stick. The second variant ware is comprised of large vessels (40-60 cm internal diameter) featuring slightly out-turned rims and invariable 'wavy' stabbed comb decor.' (MacDonald 1996)",Kobadi Tradition,,3000~,,BCE,,Primary name,,1000~,'-3000~,CHRN-00000515,"Mali, Primary name",,, The Relationship Among Naturally Occurring Radionuclides Geology and Geography: Tsodilo Hills Botswana,BCE,,'-1000~,113f7e85-0334-4baa-8b94-bf5d82a661c9
Ceramic tradition,,Tombouze tradition,,500,,,,Primary name,,present,'-500,CHRN-00000538,"Mali, Primary name",,, Trans-saharan Trade,BCE,,None,e3e0717b-17df-4ddc-a76f-699d352a0961
Polity,These kingdoms expanded from the Niger River to the White Volta Basin. Mossi warriors exercised pressure on the Dogon of the Plain in the 15th century and controlled the territory up to today’s border of Mali and Burkina Faso causing the retreat of the Dogon to the Cliff. (Mayor et al 2005),Mossi kingdom,,1300,,CE,,Primary name,,1900,1300,CHRN-00000558,"West Africa, Primary name",,, Archaeology of the Jesuit Missions of Ethiopia,CE,,1900,ba7f4909-9ff1-4edd-a625-9d81117a781e
,,Historical period (Eastern Africa),,None,,CE,,Primary name,,1900,None,CHRN-00000561,"Eastern Africa, Primary name",,,,,,1900,439beb4c-f83d-4e06-add3-aa6de3f614df
Archaeological period,The period covered within the memory of oral and written accounts spanning the end of socio-political compexity and the onset of colonial administration.,Historical period (Southern Africa),,None,,CE,,Primary name,,1910,None,CHRN-00000566,"Southern Africa, Primary name",,, Excavations at Gao Saney: New Evidence for Settlement Growth Trade and Interaction on the Nige R Bend in the First Millennium Ce,,,1910,20acdae6-6568-47f6-b9c9-3656eee90446
Archaeological period,,Historical period (West Africa),,,,,,Primary name,,,,CHRN-00000567,"West Africa, Primary name",,,,,,,f419e289-140b-4093-b211-fc8ed34e5182
Archaeological period,,Historical period (Senegal),,,,,,Primary name,,,,CHRN-00000568,"Senegal, Primary name",,,,,,,aed29f25-a816-4374-a268-fb683945974d
,,Colonial and resistence period (Eastern Africa),,,,,,Primary name,,,,CHRN-00000574,"Eastern Africa, Primary name",,,,,,,6684ef27-d08a-4869-a093-b7c7c0419ae0
,,Colonial and Resistance period (Southern Africa),,1500,,,,Primary name,,None,1500,CHRN-00000575,"Southern Africa, Primary name",,,,CE,,None,de410f40-f66a-4ff7-ae7f-e83d4a2c00a1
,,Colonial and Resistance period (West Africa),,,,,,Primary name,,,,CHRN-00000576,"West Africa, Primary name",,,,,,,a98dfc93-5ea2-4cdd-a621-5e6ca55d1894
,Concept is used when information pertaining to a chronological timeframe for a given site has not been provided or detailed in the original record (Alt. Not specified).,No information,,,,,,Primary name,,,,CHRN-00000578,,,,,,,,5e09678e-e4ba-48d9-994f-8e78352e435f
Non-specified,Used for phases and/or events that took place during the 1st millennium CE/AD (AD/CE 1- 1000) Gregorian Calendar.  ,1st Millennium CE,,1,,CE,,Primary name,,1000,1,CHRN-00000015,"Africa, Primary name",,,,CE,,1000,7adc687c-1cf2-4f2a-ba67-af83f732ecfb
Non-specified,Used for phases and/or events that took place during the 2nd millennium CE/AD (AD/CE 1001 - 2000) Gregorian Calendar.  ,2nd Millennium CE,,1001,,CE,,Primary name,,2000,1001,CHRN-00000043,"Africa, Primary name",,,,CE,,2000,bce4a432-f2bf-44cb-9bd5-674ab0ad7f68
Non-specified,Used for phases and/or events that took place during the 3rd millennium BC/BCE (2001-3000 BC/BCE).  ,3rd Millennium BCE,,3000,,BCE,,Primary name,,2001,'-3000,CHRN-00000057,"Africa, Primary name",,,,BCE,,'-2001,60cfc465-9430-4f25-8260-539926f97098
Non-specified,Used for phases and/or events that took place during the 5th millennium BCE/BC (4001-5000 BC/BCE).  ,5th Millennium BCE,,5000,,BCE,,Primary name,,4001,'-5000,CHRN-00000085,"Africa, Primary name",,,,BCE,,'-4001,e03cdf69-2647-474f-9394-951ebcd0efc3
Geological period,"The Neogene includes the Miocene and Pliocene epochs (23,700,000–1,600,000 years ago) and is considered by some to encompass the time up to the present. The Neogene, which means newborn was designated as such to emphasize that the marine and terrestrial fossils found in the strata of this time were more closely related to each other than to those of the preceding period called the Paleogen. (Kipfer 2000)",Neogene,,23.7,,Ma BP,,Primary name,,1.6,y-23700000,CHRN-00000087,"Africa, Primary name",,, Encyclopedic Dictionary of Archaeology,Ma BP,,y-1600000,003ab51a-9558-4007-9f86-32175a8eb0df
Geological period,"The Quaternary is the second major division of geologic time in the Cenozoic era, following the Tertiary period. It extends from about 2.580 million years ago to the present. It is divided into Pleistocene and Holocene epochs. (Darvill 2008)",Quaternary,,2.58,,,,Primary name,,present,y-258000,CHRN-00000089,"Africa, Primary name",,, Ritual in the Hunter-gatherer/early Pastoralist Period: Evidence from Tsodilo Hills Botswana,Ma BP,,..,2bfda054-4e0f-43cb-8e60-3f99c1b68beb
Archaeological period,"The African Stone Age spans the first 2.5 Ma of human prehistory, beginning with the world’s earliest stone tool production and continuing through the historical period of European colonization. The African Stone Age includes a tremendous diversity in terms of the characteristics of its industries and the life ways engaged in by its makers. Archaeological research on African stone tool industries has had wide-ranging impacts on our understanding of processes of human evolution and the organization of past human societies. The Stone Age conventionally encompasses three broad phases: Early Stone Age (ESA), Middle Stone Age (MSA) and Later Stone Age (LSA).",Stone Age (Southern Africa),,2.5,,CE,,Primary name,,1900,y-2500000,CHRN-00000176,"Southern Africa, Primary name",,, Saloum Delta,Ma BP,,1900,975eeba9-1f59-4e9d-9492-7087e63f23a3
Archaeological period,"In Senegal, the Paleolithic covers the period from 300,000 to 13,000BC. It is commonly defined as the age of carved stone and its cultures are located in four main areas: Dakar and its surroundings; the Gambia River valley and the Niokolo-Koba Park, the Falémé valley and the Senegal River valley. (Camara and Duboscq 1990)",Palaeolithic (Senegal),,300,,BP,,Primary name,,13000,y-300000,CHRN-00000226,"Senegal, Primary name",,, Bakel Ville Frontière,ka BP,,y-13000,752eb13b-1c29-4711-be44-981c63a041a6
Archaeological period,,Stone Age (Mali),,,,,,Primary name,,,,CHRN-00000242,"Mali, Primary name",,,,,,,3002f74a-32fc-4799-a2a0-d55e8f454281
Archaeological period,"This term generally refers to the presence of domestic plants and/or animals, increased sedentism, and the use of polished or ground stone tools, among other markers. As the term varies in temporal and material cultural markers across different regions, a more specific term should be used.- Maximal date extents. 6000 BCE - 500 CE",Neolithic (Eastern Africa),,6000,,CE,,Primary name,,500,'-6000,CHRN-00000253,"Eastern Africa, Primary name",,,,BCE,,500,b02bbaad-512e-40ec-9cbc-b70069f19519
Archaeological period,"The Neolithic period extends from 6185 to 2000BC. Its sites are spread throughout Senegal. In general, they are found on the slopes of the Ogolian dunes, the Grande Côte, Dakar and Saint Louis. There are also numerous sites on the continental plain, particularly in the centre of the country (the Ferlo) and in the valleys of the Senegal and Gambia rivers, as well as their main tributaries. These sites are located in varied microclimates. This variability indicates different modes of adaptation including subsistence strategies that have been adapted to varied environments where specific lithic (macro or microlithic), ceramic and bone technologies flourished.",Neolithic (Senegal),,6185,,BCE,,Primary name,,2000,'-6185,CHRN-00000274,"Senegal, Primary name",,, Eléments Darchéologie Ouest-africaine,BCE,,'-2000,cee187a3-670b-4cb0-b37b-b31642cfa1ec
Archaeological period,"Period when farming communities started making and using iron tools. This transition happened much earlier in Western Kenya than in the Central region, the former being part of a much wider cultural development within the Great Lakes region covering four countries-Kenya, Uganda, Tanzania and Rwanda.",Iron Age (Eastern Africa),,2600,,CE,,Primary name,,1600,'-2600,CHRN-00000289,"Eastern Africa, Primary name",,, The Neolithic of the Middle Nile Region: an Archeology of Central Sudan and Nubia,BP,,1600,3d1d84fc-3801-42ae-811d-e0d806752ab4
Archaeological period,"A period occuring just after 2000 years ago (ca. 200-1840 CE) in southern Africa during which time communities combined cereal agriculture with livestock-keeping as well as the working of ceramics and metallurgy. The timing of each of these materials and associated practices may differ but broadly speaking they appear within the early part of the first millennium AD in southern Africa. Early farming community sites, also referred to as the Early Iron Age, occur predominantly on the eastern side of southern Africa which has a marked summer rainfall pattern paticularly between the latitudes 26° and 33.5° south. The Early Iron Age preferably termed Early Farming Communities in the southern African context is dated between 200 CE and 900 CE. This is followed by the Late Iron Age with the preferred term, Late Farming Communities dating around 1000 CE and into the historic period. Absolute dates associated with cultural material markers have been linked to the spread of spread of Bantu-languages with a origins south of the Great Lakes region in East Africa.",Farming community period (Southern Africa),,200,,CE,,Primary name,,1840,200,CHRN-00000319,"Southern Africa, Primary name",,, Holocene Lithic Industries in Nubia,CE,,1840,4deb66b1-bad0-4199-ae9a-08bb2017063c
Archaeological period,,Iron Age (Gambia),,500,,CE,,Primary name,,1700,'-500,CHRN-00000412,"Gambia, Primary name",,, Preliminary Archaeological Investigations at Phalatswe (Old Palapye) Central District Botswana: the 1995 Season,BCE,,1700,a09ef59c-e8f2-4fcc-9720-fe88172738c5
Archaeological period,"A broader term applied from the Eurasian Three Age System to Sudan (due to connections with Egypt along the Nile). Characterised primarily by the presence of bronze metallurgy, as well as other changes variable on specific subregions. Dates given are widest possible for whole area - they vary across regions. ",Bronze Age (Sudan),,,,,,Primary name,,,,CHRN-00000419,"Sudan, Primary name",,,,,,,32983899-a7e5-470e-ba42-b92fd08b721e
Material culture,"The Pre-Kerma is a cultural period in Upper Nubia preceding the Kerma civilisation and with many similar characteristics. It also has some similarities to the A-Group of Lower Nubia, especially regarding pottery. (Honegger 2021)",Pre-Kerma,,3500,,BCE,,Primary name,,2500,'-3500,CHRN-00000421,"Sudan, Primary name",,, Notes on the Mocloutsie Cemetery Near Bobonong 1890s: a Re-appraisal,BCE,,'-2500,0f316394-fbe0-4455-ab06-6feee6b997ef
Polity,"An independent kingdom, native to Kush (Nubia) emerging after the end of the Egyptian New Kingdom occupation in the Middle Nile Region and existing as a political unit until the AD 5th century.",Kingdom of Kush,,800,,CE,,Primary name,,350,'-800,CHRN-00000430,"Sudan, Primary name",,,,BCE,,350,b5474d09-6899-4cdd-a75a-96117a53d5a2
,"A broader term for the 'Bronze Age' period within Lower Nubia, generally split into the 'A-Group' and 'C-Group' cultural phases.  The formerly defined 'B-Group' phase has been since called into question.",Bronze Age (Lower Nubia),,,,,,Primary name,,,,CHRN-00000435,"Sudan, Primary name",,,,,,,f3f42d57-1fe0-4322-9e1c-38a6ce48995f
,"A period in which the Middle Nile was ruled by 2-3 major kingdoms, all of which had converted to Christianity by the late 6th century AD. ",Medieval (Sudan),,,,,"The term 'Medieval' draws arguably problematic parallels to Europe and the Middle East, and the term 'Christian' is somewhat reductive and ignores the part of this period where kingdoms were not primarily Christian. (Edwards 2004)",Primary name,,,,CHRN-00000439,"Sudan, Primary name",,, Early Farmers at Nyungwe on the Chobe River in Botswana,,,,6f40204e-e5ad-4301-8b4d-f0df9c0c0541
,,Bronze Age (Northern Ethiopia),,,,,,Primary name,,,,CHRN-00000450,"Ethiopia, Primary name",,,,,,,e7224ef0-8fd2-4141-b924-6f51a391574a
,"The ceramic tradition of central Tigray (c. 1000 BC–AD 700) is represented by several sites around Yeha and Aksum (Michels 2005; Sernicola 2008). This region has been more extensively investigated and a reasonably solid cultural sequence has been outlined from the combined results of the stratigraphic sequence of the ceramics, radiocarbon dating of almost fifty charcoal samples, cross-dating on fragments of foreign vases and glass artefacts, and coins. Two main periods of cultural development have been distinguished: the Pre-Aksumite Period (c. 1000/900–400/300 BC), and the Aksumite Period (c. 50 BC–AD 700)' (Fattovich 2010)",Pre-Aksumite period,,1000,,BCE,,Primary name,,300,'-1000,CHRN-00000460,"Ethiopia, Primary name",,,,BCE,,'-300,a8505882-5186-4928-a796-229bdbd53811
,"After the disappearance of the medieval Nubian kingdoms, the following 500 years saw new kingdoms arise across the region, the most important of which were the Funj Sultanate of Sinnar and the Sultanate of Darfur. Between and around these, other smaller polities were developing, for example in parts of Kordofan, as well as in parts of southern Sudan. Within many riverine areas, even if nominally controlled by the Funj, local leadership was commonly in the hands of ‘tribal’ leaders, often known as meks. As elsewhere within Sudanic Africa, these kingdoms often had wide horizons, they and their peripheries were increasingly tied into large-scale trading networks while also sharing wide ranging cultural ties forged through the spread of Islam.' (Edwards 2004)",Post-Medieval (Sudan),,1500,,CE,,Primary name,,1900,1500,CHRN-00000474,"Sudan, Primary name",,, Early Farmers at Nyungwe on the Chobe River in Botswana,CE,,1900,c16db462-c064-49d7-bd10-5cf051ad014a
,"Archaeology of the post-medieval period in Ethiopia including of the colonial period, late Ethiopian Empire. (Finneran 2007)",Post-medieval (Ethiopia),,,,,,Primary name,,,,CHRN-00000478,"Sudan, Primary name",,, Antique Chinese and Japanese Porcelain Dictionary and Glossary of Terms,,,,afd7669a-ce61-4379-85c8-252b17cea528
Ceramic tradition,"Longlasting and distinct ceramic tradition found in Eastern Sudan (near the borders with Ethiopia and Eritrea), with a number of sub-traditions. Its primary characteristic is the use of scraping for both thinning and decoration, which is present in almost all sub-traditions (excluding very earliest sites). (Fattovich 2010)",Atbai tradition (ceramic),,5000,,CE,,Primary name,,400,'-5000,CHRN-00000483,"Sudan, Primary name",,, Archaeological Investigations of Settlement and Emerging Complexity in the Middle Senegal Valley,BCE,,400,a3b75883-ff53-4b52-98b4-e0a984ad1259
,The opening of the Atlantic trade in the second half of the 2nd millennium had great repercussions not only for West African societies but also for the rest of the world.' (Thiaw and Richard 2013),Post ad 1500 Atlantic World,,not before 1500,,,,Primary name,,None,1500,CHRN-00000497,"West Africa, Primary name",,, The Oxford Handbook of Ancient Nubia,CE,,None,489bf086-afc0-4819-a176-2588fab1012c
Material culture,,Trans-Saharan trade commerce,,601,,CE,,Primary name,,1900,601,CHRN-00000498,"West Africa, Primary name, Sudan, Primary name",,,,CE,,1900,5349eb6e-9c91-42b5-be8d-1494cfae5891
Local sequence,"the Tichitt Tradition (c. 1900–400 BC) arose, an early agropastoral economy with domestic pearl millet (Munson 1976; Amblard 1996; Fuller et al. 2007), stone architecture, and a hierarchical settlement landscape (Munson 1980; Holl 1985, 1993). Tichitt's socioeconomic trajectory has been researched and debated for decades, with Munson's work at Dhar Tichitt during the late 1960s followed by that of new researchers there and at the other escarpments (Munson 1976, Holl 1986; Vernet 1993; Ould Khattar 1995; MacDonald et al. 2009; Amblard-Pison 2006; Person et al. 2006). Chronology has, however, been a perennial problem, partly because the deflated nature of many key sites yields only occasional ‘cuts’ or sediment traps with datable organics, though chaff tempering of the majority of Tichitt ceramics facilitates direct AMS dating of pottery.' (MacDonald 2015)",Tichitt tradition,,1900~,,BCE,,Primary name,,500~,'-1900~,CHRN-00000507,"Mali, Primary name",,, Post-meroitic Nubia,BCE,,'-500~,86dc8ca2-356e-4f80-87ad-f5e93640c101
Local sequence,,Koroukorokale tradition,,9000~,,CE,,Primary name,,400~,'-9000~,CHRN-00000519,"Mali, Primary name",,, The Development of Ancient States in the Northern Horn of Africa C. 3000 Bc–ad 1000: an Archaeological Outline,BCE,,400~,95c4adc9-94ab-4852-bd45-caadb9fdc8de
Non-specified,"The first two millennia CE in West Africa were characterised by the emergence of large-scale urban formations such as Jenne-jeno in Mali and the development of the early kingdoms and empires, which West Africa is well known for historically. This period also saw the introduction and diffusion of Islam (see Insoll 2003).' (Swanepoel 2022)",Societies of the 1st and 2nd millennia CE (West Africa),,'-200,,CE,,Primary name,,1900,'-200,CHRN-00000522,"West Africa, Primary name",,, The Archaeology of Complexity and Cosmopolitanism in Medieval Ethiopia: an Introduction,BCE,,1900,ef008ad1-3dce-4137-86db-14206dcd6beb
Polity,,Timbuktu,,estimated 1200,,,,Primary name,,present,1200,CHRN-00000543,"Mali, Primary name",,, The Archaeology of Island in Sub-saharan Africa,CE,,None,1ef4b78c-e192-4617-85c7-08a905647924
Local sequence,the proposed chronology suggests a long occupation of the Malian Lakes Region between the first millennium BC and second millennium AD' (Coutros 2017),Malian Lakes Region,,500~,,CE,,Primary name,,1600~,'-500,CHRN-00000553,"Mali, Primary name",,, The Windé Koroji Complex: Evidence for the Peopling of the Eastern Inland Niger Delta (2100-500 BC),BCE,,1600,9c458f53-a4f0-488a-b97f-997c495bd427
,,Medieval (Senegal and Gambia),,,,,,Primary name,,,,CHRN-00000557,"Senegal, Primary name, Gambia, Primary name",,,,,,,e1bdd90d-7a00-4937-8e5e-fccab0b206f0
Polity,A kingdom in the Kordofan region active from the 19th to early 20th century.,Taqali Kingdom (Kordofan),,1800,,CE,,Primary name,,1900,1800,CHRN-00000559,"Sudan, Primary name",,, Korounkorokalé Revisited: the Pays Mande and the West African Microlithic Technocomplex,CE,,1900,ecb4128c-caca-471e-9833-3a31eaf7141b
Polity,Colonial period where the British and the Egyptian Khedive established joint sovereignty over Sudan as outlined in the Condominium Agreement of 1899.,Anglo-Egyptian (Sudan),,1896,,CE,,Primary name,,1956,1896,CHRN-00000560,"Sudan, Primary name",,, Archaeology of West Africa,CE,,1956,0c549f63-afa1-49cc-8f14-5836172886de
Polity,The period prior to 1916 when Darfur was ruled by various independent polities believing to have originated in the 12th Century CE (although this beginning is less clear). ,Independent states in modern Darfur,,None,,CE,,Primary name,,1916,None,CHRN-00000562,"Sudan, Primary name",,, Excavations at Jenne-jeno Hambarketolo and Kaniana (Inland Niger Delta Mali) The 1981 Season,,,1916,fb4e09b2-2dd7-43cf-9359-6f15513824d5
Non-specified,Used for phases and/or events that took place during the middle part of the 1st millennium BCE/BC (800 - 1000 BCE). Gregorian Calendar.  ,Late 1st Millennium BCE,,1000,has broader term (has narrower term),BCE,,Primary name,,800,'-1000,CHRN-00000011,"Africa, Primary name",1st Millennium BCE,,,BCE,,'-800,84dbd2f9-0b7f-439f-a385-385141419ed4
Non-specified,Used for phases and/or events that took place towards the end of the 1st millennium CE/AD (CE/AD 701-1000) Gregorian Calendar.  ,Late 1st Millennium CE,,701,has broader term (has narrower term),CE,,Primary name,,1000,701,CHRN-00000025,"Africa, Primary name",1st Millennium CE,,,CE,,1000,b66592f2-42d0-475b-bbb1-23b6bf3cf8f5
Non-specified,Used for phases and/or events that took place during the middle part of the 2nd millennium BCE/BC (1701 - 2000 BC/BCE). Gregorian Calendar.  ,Late 2nd Millennium BCE,,2000,has broader term (has narrower term),BCE,,Primary name,,'-1701,'-2000,CHRN-00000039,"Africa, Primary name",2nd Millennium BCE,,,BCE,,'-1701,262bbe98-8cad-4e2a-9683-6eabd2881e1c
Non-specified,Used for phases and/or events that took place during the middle part of the 2nd millennium CE/AD (CE/AD 1301 - 1700). Gregorian Calendar.  ,Mid 2nd Millennium CE,,1301,has broader term (has narrower term),CE,,Primary name,,1700,1301,CHRN-00000048,"Africa, Primary name",2nd Millennium CE,,,CE,,1700,abb07e2e-b694-49ee-b12a-9bf01d465278
Non-specified,Used for phases and/or events that took place during the middle part of the 3rd millennium BCE/BC (2301-2700 BC/BCE). Gregorian Calendar.  ,Mid 3rd Millennium BCE,,2700,has broader term (has narrower term),BCE,,Primary name,,2301,'-2700,CHRN-00000062,"Africa, Primary name",3rd Millennium BCE,,,BCE,,'-2301,f7f0f873-48be-4a55-b15f-851a0b9ab4ff
Non-specified,Used for phases and/or events that took place during the middle part of the 4th millennium BCE/BC (3301-3700 BC/BCE),Mid 4th Millennium BCE,,3700,has broader term (has narrower term),BCE,,Primary name,,3301,'-3700,CHRN-00000076,"Africa, Primary name",4th Millennium BCE,,,BCE,,'-3301,10c4c6e4-ba4a-411d-b41d-a14ff7cee0d5
Geological epoch,"On the geologic time scale, the youngest epoch of the Tertiary, or of the more recently designated Neogene, following Miocene and preceding the Pleistocene epoch of the Quaternary period. It extends from about 5.3 million to 2.58 million years ago.",Pliocene,,5.8,has broader term (has narrower term),Ma BP,,Primary name,,2.58,y-5800000,CHRN-00000088,"Africa, Primary name",Neogene,, Kunta Kinteh Island and Related Sites,Ma BP,,y-258000,734fa9b6-5412-41a9-9075-74e1c47b1bd0
